timestamp,open,high,low,close,volume,vwap,transactions,otc
2010-02-10 21:00:00,0.4069,0.4349,0.4056,0.4326,3415680.0,0.4254,120,
2010-02-11 21:00:00,0.4208,0.4381,0.4184,0.4344,8520960.0,0.4289,344,
2010-02-15 21:00:00,0.4446,0.4522,0.4376,0.4512,9615744.0,0.4447,349,
2010-02-16 21:00:00,0.4572,0.459,0.4503,0.4588,19138176.0,0.4557,606,
2010-02-17 21:00:00,0.4584,0.4703,0.4556,0.4675,38866560.0,0.4627,1503,
2010-02-18 21:00:00,0.4644,0.4736,0.4608,0.4675,46480896.0,0.4667,1355,
2010-02-21 21:00:00,0.4731,0.4731,0.459,0.4643,25501632.0,0.4641,932,
2010-02-22 21:00:00,0.4617,0.4642,0.44,0.4461,41077632.0,0.4486,1407,
2010-02-23 21:00:00,0.454,0.4649,0.4516,0.4596,35272704.0,0.4596,1177,
2010-02-24 21:00:00,0.4449,0.4625,0.436,0.4594,45479232.0,0.4461,1323,
2010-02-25 21:00:00,0.458,0.467,0.4535,0.4651,28801728.0,0.4618,953,
2010-02-28 21:00:00,0.471,0.487,0.471,0.485,14226240.0,0.48,490,
2010-03-01 21:00:00,0.4893,0.4985,0.4867,0.488,24221952.0,0.4918,738,
2010-03-02 21:00:00,0.4934,0.4977,0.4859,0.4907,23977536.0,0.4919,716,
2010-03-03 21:00:00,0.4924,0.4968,0.4847,0.4961,14738496.0,0.4915,445,
2010-03-04 21:00:00,0.5067,0.5203,0.504,0.518,13431360.0,0.5126,487,
2010-03-07 21:00:00,0.5185,0.5245,0.5185,0.5208,12668928.0,0.5216,407,
2010-03-08 21:00:00,0.5179,0.5381,0.5175,0.53,23208384.0,0.5311,785,
2010-03-09 21:00:00,0.5307,0.5462,0.5304,0.543,20027520.0,0.5405,724,
2010-03-10 21:00:00,0.5397,0.5487,0.5361,0.548,26957184.0,0.5419,858,
2010-03-11 21:00:00,0.554,0.554,0.5429,0.5492,18057024.0,0.5488,647,
2010-03-14 21:00:00,0.5456,0.5493,0.5339,0.5455,21183360.0,0.5413,677,
2010-03-15 21:00:00,0.5508,0.5574,0.5452,0.5558,23296704.0,0.5517,796,
2010-03-16 21:00:00,0.5574,0.5676,0.555,0.5597,19896960.0,0.561,653,
2010-03-17 21:00:00,0.5616,0.5671,0.5579,0.5654,26187264.0,0.5627,949,
2010-03-18 21:00:00,0.5715,0.5715,0.5494,0.5554,20009472.0,0.5569,636,
2010-03-21 21:00:00,0.5488,0.577,0.5468,0.5704,29396736.0,0.5659,917,
2010-03-22 21:00:00,0.5743,0.5835,0.5654,0.5823,27649344.0,0.5739,857,
2010-03-23 21:00:00,0.5782,0.5794,0.5704,0.574,44607552.0,0.5746,1401,
2010-03-24 21:00:00,0.588,0.5942,0.5699,0.5704,46958016.0,0.5847,1505,
2010-03-25 21:00:00,0.5785,0.5844,0.5644,0.5734,42138816.0,0.5728,1297,
2010-03-28 21:00:00,0.582,0.5871,0.577,0.5812,19019328.0,0.5823,649,
2010-03-29 21:00:00,0.586,0.5924,0.5754,0.5873,19942080.0,0.5847,643,
2010-03-30 21:00:00,0.5808,0.5886,0.5754,0.5794,29764224.0,0.5821,922,
2010-03-31 21:00:00,0.5859,0.5971,0.5653,0.5783,58299840.0,0.5813,1777,
2010-04-04 21:00:00,0.5825,0.5985,0.5782,0.595,33778368.0,0.5914,1197,
